tenantId,deviceId,Timestamp,traceId,metadata,DeviceType,EventType,AC_RuleAction,ClientAppDetector,ConnectionID,DeviceIP,DeviceUUID,EgressInterface,EgressVRF,EgressZone,EventPriority,EventSecond,EventSubtype,FirewallPolicy,FirewallRule,FirstPacketSecond,Hostname,IngressInterface,IngressVRF,IngressZone,InitiatorBytes,InitiatorIP,InitiatorPackets,InitiatorPort,InstanceID,NAP_Policy,PrefilterPolicy,Protocol,ResponderBytes,ResponderIP,ResponderPackets,ResponderPort,event_size,streamId,event_timestamp,eventtype_bits,eventUUID,ConnectionDuration,LastPacketSecond,EventMicrosecond,PriorityID,GeneratorID,SignatureID,SignatureRevision,IntrusionRuleMessage,Classification,IntrusionPolicy,InlineResult,InlineResultReason,AC_RuleReason,IP_ReputationSI_Category,SI_Direction,IntrusionCount
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744652926,1178450c-84a4-4cdf-8eab-92d11680f817,,FTD,ConnectionEvent,Allow,AppID,15606,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,Low,1744652923,Start,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652923,manisb-6-215,ra-vpn,Global,ra-vpn,8234.0,000000000000000000000000ac100005,1,38460,1,Balanced Security and Connectivity,Default Prefilter Policy,udp,0.0,000000000000000000000000ac104007,0,7070,1.08,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652923,0,067fd4a7-b8fa-7433-8000-c02638f4b856,,,,,,,,,,,,,,,,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744652926,f2e24c41-ea8c-4c03-8916-f918722225a9,,FTD,ConnectionEvent,Allow,AppID,15501,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,Low,1744652801,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652801,manisb-6-215,ra-vpn,Global,ra-vpn,2488664.0,000000000000000000000000ac100005,303,54977,1,Balanced Security and Connectivity,Default Prefilter Policy,udp,0.0,000000000000000000000000ac104009,0,7070,1.1400000000000000,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652801,0,067fd4a0-18fa-7408-8000-bc55c6d9b32f,0,1744652801,,,,,,,,,,,,,,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744652931,8aa2780b-4e6b-4fc0-b9b1-502f1ead4895,,FTD,IntrusionEvent,,,15609,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,,1744652928,,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652928,manisb-6-215,ra-vpn,Global,ra-vpn,,000000000000000000000000ac10001d,,53895,1,Balanced Security and Connectivity,,udp,,000000000000000000000000ac104006,,7070,1.21,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652928,0,067fd4a8-08fa-73f7-8000-0de18a331cc1,,,186864,2,116,445,2,(udp) large UDP packet (> 4000 bytes),Potentially Bad Traffic,manisb-maximum-detection-only,Would block,"Intrusion Policy in ""Detection"" Inspection Mode",,,,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744652931,cc436106-0c2f-4409-a456-eed2bc62b584,,FTD,ConnectionEvent,Allow,AppID,15609,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,Low,1744652928,Start,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652928,manisb-6-215,ra-vpn,Global,ra-vpn,8234.0,000000000000000000000000ac10001d,1,53895,1,Balanced Security and Connectivity,Default Prefilter Policy,udp,0.0,000000000000000000000000ac104006,0,7070,1.08,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652928,0,067fd4a8-08fa-73f7-8001-12030a9711ee,,,,,,,,,,,,,,,,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744652936,0cd854f2-0f6a-4267-8b89-f14e1b964e99,,FTD,ConnectionEvent,Allow,AppID,15587,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,High,1744652931,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652901,manisb-6-215,ra-vpn,Global,ra-vpn,0.0,000000000000000000000000ac100006,1,52440,1,Balanced Security and Connectivity,Default Prefilter Policy,tcp,0.0,000000000000000000000000ac10400a,0,9090,1.25,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652901,0,067fd4a6-58fa-73ec-8000-1b9a469329be,30,1744652931,,,,,,,Generic Protocol Command Decode,,,,IP Monitor,block-list-for-SI-events-ip,Destination,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744652952,6e519227-e555-4b18-a0c1-b80a12e5a1e9,,FTD,ConnectionEvent,Allow,AppID,15524,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,Low,1744652825,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652825,manisb-6-215,ra-vpn,Global,ra-vpn,2544306.0,000000000000000000000000ac10000c,309,35319,1,Balanced Security and Connectivity,Default Prefilter Policy,udp,0.0,000000000000000000000000ac104006,0,7070,1.1400000000000000,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652825,0,067fd4a1-98fa-73a0-8000-9f3b22141436,0,1744652825,,,,,,,Generic Protocol Command Decode,,,,,,,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744652965,b6da96c6-9747-4e58-890a-d05165a297e8,,FTD,ConnectionEvent,Allow,AppID,15612,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,High,1744652964,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652934,manisb-6-215,ra-vpn,Global,ra-vpn,0.0,000000000000000000000000ac100006,1,52440,1,Balanced Security and Connectivity,Default Prefilter Policy,tcp,0.0,000000000000000000000000ac10400a,0,9090,1.25,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652934,0,067fd4a8-68fa-73f0-8000-76f3d19db8ee,30,1744652964,,,,,,,Generic Protocol Command Decode,,,,IP Monitor,block-list-for-SI-events-ip,Destination,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744652969,d2d36118-a362-4a08-ac2f-85b57561b57a,,FTD,ConnectionEvent,Allow,AppID,15613,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,High,1744652964,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652934,manisb-6-215,ra-vpn,Global,ra-vpn,0.0,000000000000000000000000ac100005,5,57786,1,Balanced Security and Connectivity,Default Prefilter Policy,tcp,0.0,000000000000000000000000ac10400a,0,9090,1.25,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652934,0,067fd4a8-68fa-73e4-8000-1e3cb9739deb,30,1744652964,,,,,,,Generic Protocol Command Decode,,,,IP Monitor,block-list-for-SI-events-ip,Destination,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744652992,9e6a4bcd-a9e1-4b0f-b4e4-5306f54b65af,,FTD,ConnectionEvent,Allow,AppID,15657,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,Low,1744652992,Start,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652992,manisb-6-215,ra-vpn,Global,ra-vpn,8234.0,000000000000000000000000ac100006,1,41438,1,Balanced Security and Connectivity,Default Prefilter Policy,udp,0.0,000000000000000000000000ac104005,0,7070,1.08,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652992,0,067fd4ac-08fa-73ad-8000-7f0ad6850281,,,,,,,,,,,,,,,,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744652992,8cf30e38-597c-44e0-8f95-2be944792b7d,,FTD,ConnectionEvent,Allow,AppID,15555,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,Low,1744652861,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652861,manisb-6-215,ra-vpn,Global,ra-vpn,2511370.0,000000000000000000000000ac10000b,305,50049,1,Balanced Security and Connectivity,Default Prefilter Policy,udp,0.0,000000000000000000000000ac104005,0,7070,1.16,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652861,0,067fd4a3-d8fa-73cf-8000-d120bde81df9,0,1744652861,,,,,,,,,,,,,,1
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744652997,e78fac3c-9f6d-4b61-a065-d2582fd49308,,FTD,IntrusionEvent,,,15657,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,,1744652992,,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652992,manisb-6-215,ra-vpn,Global,ra-vpn,,000000000000000000000000ac100006,,41438,1,Balanced Security and Connectivity,,udp,,000000000000000000000000ac104005,,7070,1.21,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652992,0,067fd4ac-08fa-73ad-8000-75c1879a9448,,,196858,2,116,445,2,(udp) large UDP packet (> 4000 bytes),Potentially Bad Traffic,manisb-maximum-detection-only,Would block,"Intrusion Policy in ""Detection"" Inspection Mode",,,,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744652997,ebe08b75-d73b-4316-8078-1675bb6b45e2,,FTD,ConnectionEvent,Allow,AppID,15658,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,Low,1744652995,Start,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652995,manisb-6-215,ra-vpn,Global,ra-vpn,8234.0,000000000000000000000000ac100005,1,57393,1,Balanced Security and Connectivity,Default Prefilter Policy,udp,0.0,000000000000000000000000ac104005,0,7070,1.08,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652995,0,067fd4ac-38fa-73d2-8000-7b34a01d4796,,,,,,,,,,,,,,,,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744653002,e9c3eff1-b50a-4ac9-908b-3b157ca335a6,,FTD,ConnectionEvent,Allow,AppID,15635,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,High,1744652996,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652966,manisb-6-215,ra-vpn,Global,ra-vpn,0.0,000000000000000000000000ac100005,1,57786,1,Balanced Security and Connectivity,Default Prefilter Policy,tcp,0.0,000000000000000000000000ac10400a,0,9090,1.25,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652966,0,067fd4aa-68fa-740e-8000-b998d69c04ff,30,1744652996,,,,,,,,,,,IP Monitor,block-list-for-SI-events-ip,Destination,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744653002,0612cc51-4f98-49c8-bac4-828e39f9dab4,,FTD,ConnectionEvent,Allow,AppID,15661,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,Low,1744652999,Start,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652999,manisb-6-215,ra-vpn,Global,ra-vpn,8234.0,000000000000000000000000ac100006,1,43090,1,Balanced Security and Connectivity,Default Prefilter Policy,udp,0.0,000000000000000000000000ac104005,0,7070,1.08,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652999,0,067fd4ac-78fa-739e-8000-771fef333365,,,,,,,,,Generic Protocol Command Decode,,,,,,,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744653007,6b1db2d9-10e7-44f8-8dae-369aeb576c7c,,FTD,ConnectionEvent,Allow,AppID,15645,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,High,1744653004,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652974,manisb-6-215,ra-vpn,Global,ra-vpn,0.0,000000000000000000000000ac10000b,5,41404,1,Balanced Security and Connectivity,Default Prefilter Policy,tcp,0.0,000000000000000000000000ac10400a,0,9090,1.25,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652974,0,067fd4aa-e8fa-73c0-8000-27f9c3c23442,30,1744653004,,,,,,,Generic Protocol Command Decode,,,,IP Monitor,block-list-for-SI-events-ip,Destination,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744653028,8940a988-31f8-45a4-8c02-608a19f33a47,,FTD,ConnectionEvent,Allow,AppID,15692,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,Low,1744653027,Start,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744653027,manisb-6-215,ra-vpn,Global,ra-vpn,8234.0,000000000000000000000000ac10000a,1,38446,1,Balanced Security and Connectivity,Default Prefilter Policy,udp,0.0,000000000000000000000000ac104005,0,7070,1.08,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744653027,0,067fd4ae-38fa-73c2-8000-148ad68b591a,,,,,,,,,Generic Protocol Command Decode,,,,,,,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744653028,41a6b5c1-e21d-49de-8bed-46c91c13dac8,,FTD,ConnectionEvent,Allow,AppID,15575,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,Low,1744652886,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652886,manisb-6-215,ra-vpn,Global,ra-vpn,2429030.0,000000000000000000000000ac100004,295,38536,1,Balanced Security and Connectivity,Default Prefilter Policy,udp,0.0,000000000000000000000000ac104009,0,7070,1.16,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652886,0,067fd4a5-68fa-73f0-8000-59e4455720af,0,1744652886,,,,,,,Generic Protocol Command Decode,,,,,,,1
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744653028,077b12f8-33ff-488b-bd88-f5fcab0d37a3,,FTD,ConnectionEvent,Allow,AppID,15576,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,Low,1744652887,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652887,manisb-6-215,ra-vpn,Global,ra-vpn,2527838.0,000000000000000000000000ac10000a,307,59616,1,Balanced Security and Connectivity,Default Prefilter Policy,udp,0.0,000000000000000000000000ac104008,0,7070,1.16,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652887,0,067fd4a5-78fa-739d-8000-96b958760b35,0,1744652887,,,,,,,,,,,,,,1
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744653028,40b53ddb-d171-49e8-9c13-406083e83e7e,,FTD,ConnectionEvent,Allow,AppID,15579,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,Low,1744652887,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652887,manisb-6-215,ra-vpn,Global,ra-vpn,2643114.0,000000000000000000000000ac10000b,321,58148,1,Balanced Security and Connectivity,Default Prefilter Policy,udp,0.0,000000000000000000000000ac10400a,0,7070,1.16,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652887,0,067fd4a5-78fa-73c2-8000-e1f7066838a3,0,1744652887,,,,,,,,,,,,,,1
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744653028,e8b0cf8f-b74a-4abb-9af5-3b413df5c54f,,FTD,ConnectionEvent,Allow,AppID,15580,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,Low,1744652887,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652887,manisb-6-215,ra-vpn,Global,ra-vpn,2503136.0,000000000000000000000000ac10000c,304,43488,1,Balanced Security and Connectivity,Default Prefilter Policy,udp,0.0,000000000000000000000000ac104005,0,7070,1.1400000000000000,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652887,0,067fd4a5-78fa-73e4-8000-67ad0d84feb8,0,1744652887,,,,,,,,,,,,,,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744653028,5727aeb3-7379-4b9e-b120-39213aa2293e,,FTD,ConnectionEvent,Allow,AppID,15589,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,Low,1744652904,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652904,manisb-6-215,ra-vpn,Global,ra-vpn,2610178.0,000000000000000000000000ac100006,317,32863,1,Balanced Security and Connectivity,Default Prefilter Policy,udp,0.0,000000000000000000000000ac104009,0,7070,1.1400000000000000,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652904,0,067fd4a6-88fa-73ed-8000-187529eba465,0,1744652904,,,,,,,,,,,,,,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744653032,57dba1cd-531d-4bd5-be63-333b96aef037,,FTD,ConnectionEvent,Allow,AppID,15663,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,High,1744653029,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744652999,manisb-6-215,ra-vpn,Global,ra-vpn,0.0,000000000000000000000000ac100005,1,57786,1,Balanced Security and Connectivity,Default Prefilter Policy,tcp,0.0,000000000000000000000000ac10400a,0,9090,1.25,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744652999,0,067fd4ac-78fa-73e9-8000-4bd5e78e203e,30,1744653029,,,,,,,,,,,IP Monitor,block-list-for-SI-events-ip,Destination,
f8948c2f-3138-497b-a56e-17e0fd442e5e,3cb5b0f3-f53c-4b2b-892f-3456b193ffa6,1744653037,e4a6c04d-8e8b-42ca-b089-c62ed5677b43,,FTD,ConnectionEvent,Allow,AppID,15672,10.10.6.215,3f9231d8-304b-11ed-a2a1-88952a354d2c,s2s-vpn,Global,s2s-vpn,High,1744653036,End,manisb-ac-policy,allow-ravpn-clients-to-s2s,1744653006,manisb-6-215,ra-vpn,Global,ra-vpn,0.0,000000000000000000000000ac10000b,1,41404,1,Balanced Security and Connectivity,Default Prefilter Policy,tcp,0.0,000000000000000000000000ac10400a,0,9090,1.25,f8948c2f-3138-497b-a56e-17e0fd442e5e,1744653006,0,067fd4ac-e8fa-73ec-8000-7a5729b08a7e,30,1744653036,,,,,,,,,,,IP Monitor,block-list-for-SI-events-ip,Destination,
