Timestamp,InitiatorIP,ResponderIP,ResponderPort,Protocol,TotalBytes,Duration
2025-07-08 07:46:37,192.168.1.42,36.89.237.242,35320,UDP,59860,2834
2025-07-08 17:08:37,192.168.1.21,134.82.248.42,2658,UDP,851265,1035
2025-07-07 22:42:37,192.168.1.48,195.91.185.194,12328,TCP,242666,1094
2025-07-08 01:35:37,209.173.79.182,192.168.1.22,47300,ICMP,370908,332
2025-07-08 18:27:37,192.168.1.35,89.151.250.197,15577,ICMP,798478,1268
2025-07-07 23:20:37,155.223.46.187,192.168.1.41,28431,UDP,116612,1501
2025-07-08 06:46:37,155.161.184.245,192.168.1.10,23007,UDP,139361,2781
2025-07-07 20:25:37,117.224.253.21,54.150.255.8,14977,TCP,903302,1172
2025-07-08 08:27:37,110.136.87.160,34.40.188.108,143,TCP,307066,2414
2025-07-08 17:11:37,119.229.134.49,69.18.75.160,43642,TCP,181242,1471
2025-07-07 21:01:37,192.168.1.11,34.40.188.108,40074,ICMP,817823,1500
2025-07-08 02:29:37,119.229.134.49,4.66.167.88,53980,TCP,711694,230
2025-07-08 13:45:37,192.168.1.28,192.168.1.28,3083,TCP,595804,3581
2025-07-08 17:40:37,196.44.170.188,104.197.200.107,21,TCP,279206,2422
2025-07-08 01:00:37,93.98.62.57,184.186.181.36,53980,ICMP,125340,1258
2025-07-07 20:16:37,34.223.180.243,192.168.1.47,22,ICMP,617940,2214
2025-07-08 14:50:37,192.168.1.34,162.113.81.3,39805,TCP,667344,3354
2025-07-08 09:51:37,157.149.95.221,64.156.38.99,143,ICMP,96813,848
2025-07-08 07:10:37,119.229.134.49,192.168.1.31,9191,UDP,3320179,3205
2025-07-08 14:55:37,83.66.230.243,13.142.96.159,25049,TCP,370279,35
2025-07-08 06:50:37,115.5.29.97,139.227.194.220,52209,UDP,158059,1451
2025-07-08 05:52:37,104.197.200.107,93.98.62.57,38863,TCP,483178,3258
2025-07-08 14:22:37,192.168.1.39,158.111.253.153,12645,TCP,794933,3008
2025-07-08 07:24:37,93.197.204.255,164.231.212.154,18571,ICMP,724874,1560
2025-07-08 06:41:37,169.36.133.71,177.16.66.94,21,UDP,379102,3291
2025-07-07 20:56:37,64.94.201.159,192.168.1.28,6647,ICMP,2353470,1778
